2024-06-23 21:46:35 - Order events [contract=BTCUSDT, order_id=4045035974, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:46:40 - Order events [contract=BTCUSDT, order_id=4045035982, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.2, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:46:50 - Order events [contract=BTCUSDT, order_id=4045035993, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:48:59 - Order events [contract=BTCUSDT, order_id=4045036112, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:49:02 - Order events [contract=BTCUSDT, order_id=4045036125, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:49:18 - Order events [contract=BTCUSDT, order_id=4045036139, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:49:25 - Order events [contract=BTCUSDT, order_id=4045036170, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65450.0, last_filled_qty=0.006, canceled_reason=None]
2024-06-23 21:49:31 - Order events [contract=BTCUSDT, order_id=4045036173, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:49:50 - Order events [contract=BTCUSDT, order_id=4045036175, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:49:52 - Order events [contract=BTCUSDT, order_id=4045036191, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:50:29 - Order events [contract=BTCUSDT, order_id=4045036318, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65550.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:03 - Order events [contract=BTCUSDT, order_id=4045036380, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:06 - Order events [contract=BTCUSDT, order_id=4045036383, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:07 - Order events [contract=BTCUSDT, order_id=4045036384, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:11 - Order events [contract=BTCUSDT, order_id=4045036391, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65550.0, last_filled_qty=0.006, canceled_reason=None]
2024-06-23 21:51:12 - Order events [contract=BTCUSDT, order_id=4045036394, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:15 - Order events [contract=BTCUSDT, order_id=4045036397, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65680.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:18 - Order events [contract=BTCUSDT, order_id=4045036400, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65680.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:19 - Order events [contract=BTCUSDT, order_id=4045036403, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65680.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:21 - Order events [contract=BTCUSDT, order_id=4045036404, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:51:28 - Order events [contract=BTCUSDT, order_id=4045036414, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65780.1, last_filled_qty=0.002, canceled_reason=None]
