2024-06-17 21:09:25 - Order events [contract=BTCUSDT, order_id=4043955651, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=66258.9, last_filled_qty=0.068, canceled_reason=None]
2024-06-17 21:09:58 - Order events [contract=BTCUSDT, order_id=4043955731, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66391.7, last_filled_qty=0.02, canceled_reason=None]
2024-06-17 21:10:15 - Order events [contract=BTCUSDT, order_id=4043955731, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66391.7, last_filled_qty=0.003, canceled_reason=None]
2024-06-17 21:10:25 - Order events [contract=BTCUSDT, order_id=4043955731, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66391.7, last_filled_qty=0.003, canceled_reason=None]
2024-06-17 21:10:33 - Order events [contract=BTCUSDT, order_id=4043955731, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66391.7, last_filled_qty=0.003, canceled_reason=None]
2024-06-17 21:10:42 - Order events [contract=BTCUSDT, order_id=4043955731, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66391.7, last_filled_qty=0.039, canceled_reason=None]
2024-06-17 21:10:54 - Order events [contract=BTCUSDT, order_id=4043955891, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=66391.7, last_filled_qty=0.01, canceled_reason=None]
2024-06-17 21:11:10 - Order events [contract=BTCUSDT, order_id=4043955891, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=66391.7, last_filled_qty=0.058, canceled_reason=None]
2024-06-17 21:11:58 - Order events [contract=BTCUSDT, order_id=4043955956, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66391.8, last_filled_qty=0.068, canceled_reason=None]
2024-06-17 21:18:06 - Order events [contract=BTCUSDT, order_id=4043956750, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=66600.0, last_filled_qty=0.068, canceled_reason=None]
