2024-06-17 00:59:05 - Order events [contract=BTCUSDT, order_id=4043849325, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=66900.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 00:59:37 - Order events [contract=BTCUSDT, order_id=4043849367, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66849.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:01:48 - Order events [contract=BTCUSDT, order_id=4043849623, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=66900.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:01:49 - Order events [contract=BTCUSDT, order_id=4043849625, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66849.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:07:57 - Order events [contract=BTCUSDT, order_id=4043850108, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=66947.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:09:01 - Order events [contract=BTCUSDT, order_id=4043850166, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66900.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:10:55 - Order events [contract=BTCUSDT, order_id=4043850290, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=66947.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:11:01 - Order events [contract=BTCUSDT, order_id=4043850299, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66716.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:13:02 - Order events [contract=BTCUSDT, order_id=4043850418, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=66947.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:14:03 - Order events [contract=BTCUSDT, order_id=4043850473, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66716.3, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:16:39 - Order events [contract=BTCUSDT, order_id=4043850632, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=66947.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:18:09 - Order events [contract=BTCUSDT, order_id=4043850731, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66716.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:21:38 - Order events [contract=BTCUSDT, order_id=4043850935, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=66966.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:22:14 - Order events [contract=BTCUSDT, order_id=4043850962, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=66966.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:22:25 - Order events [contract=BTCUSDT, order_id=4043851003, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=66966.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:23:04 - Order events [contract=BTCUSDT, order_id=4043851010, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66966.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-17 01:23:25 - Order events [contract=BTCUSDT, order_id=4043851078, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=66946.9, last_filled_qty=0.004, canceled_reason=None]
