,Timestamp,Open,High,Low,Close,Date,%K,%D,Slow %K,Slow %D,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,MinutesSincePeak,MinutesSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv
0,2024-05-29 01:02:48,67750.85,67750.85,67750.85,67750.85,2024-05-29 01:02:48,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,False,False,Hold,67750.036,67749.236,68.26885502144704,0,0,0.0,0.0,False,False,-81.19999999908032,-20.000000076834112
1,2024-05-29 01:02:49,67750.85,67750.85,67750.85,67750.85,2024-05-29 01:02:49,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,False,False,Hold,67750.036,67749.236,68.26885502144704,0,0,0.0,0.0,False,False,-81.19999999908032,-20.000000076834112
2,2024-05-29 01:02:50,67750.84,67750.85,67750.84,67750.84,2024-05-29 01:02:50,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,False,True,Buy,67750.036,67749.236,68.26885502144704,0,0,0.0,0.0,False,False,-81.19999999908032,-20.000000076834112
3,2024-05-29 01:02:51,67750.85,67750.85,67750.85,67750.85,2024-05-29 01:02:51,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,True,False,Sell,67750.036,67749.236,68.26885502144704,0,1,0.0,0.010000000009313226,False,False,-81.19999999908032,-20.000000076834112
4,2024-05-29 01:02:52,67750.84,67750.84,67746.79,67746.79,2024-05-29 01:02:52,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,False,False,Hold,67750.036,67749.236,68.26885502144704,1,2,-0.010000000009313226,0.0,False,False,-81.19999999908032,-20.000000076834112
5,2024-05-29 01:02:53,67746.79,67746.79,67746.79,67746.79,2024-05-29 01:02:53,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,False,False,Hold,67749.224,67749.236,68.26885502144704,2,3,-4.060000000012224,-4.05000000000291,False,False,-81.19999999908032,-20.000000076834112
6,2024-05-29 01:02:54,67746.79,67746.79,67746.78,67746.78,2024-05-29 01:02:54,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,False,False,Hold,67748.41,67749.236,68.26885502144704,3,4,-4.060000000012224,-4.05000000000291,False,False,-81.39999999984866,-20.000000076834112
7,2024-05-29 01:02:55,67746.79,67746.79,67746.78,67746.78,2024-05-29 01:02:55,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,False,False,Hold,67747.598,67749.236,68.26885502144704,4,5,-4.060000000012224,-4.05000000000291,True,False,-81.20000000053551,19.99999993131496
8,2024-05-29 01:02:56,67746.79,67746.79,67746.78,67746.78,2024-05-29 01:02:56,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,False,False,Hold,67746.784,67749.236,68.26885502144704,5,6,-4.060000000012224,-4.05000000000291,True,True,-81.39999999984866,-19.99999993131496
9,2024-05-29 01:02:57,67746.78,67746.79,67746.78,67746.78,2024-05-29 01:02:57,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,False,False,Hold,67746.782,67749.236,68.26885502144704,6,7,-4.070000000006985,-4.059999999997672,False,True,-0.1999999993131496,8120.000000053551
10,2024-05-29 01:02:58,67746.79,67751.8,67746.79,67751.8,2024-05-29 01:02:58,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,False,False,Hold,67747.784,67749.236,68.26885502144704,7,8,-4.060000000012224,-4.05000000000291,True,False,100.19999999931315,10039.99999986263
11,2024-05-29 01:02:59,67751.79,67764.24,67751.79,67764.24,2024-05-29 01:02:59,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,True,False,Sell,67751.276,67749.236,68.26885502144704,0,9,0.0,0.9499999999970896,False,False,349.199999999837,24900.000000052387
12,2024-05-29 01:03:00,67764.24,67764.25,67764.24,67764.24,2024-05-29 01:03:00,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,False,False,Hold,67754.768,67749.236,68.26885502144704,1,10,12.450000000011642,13.400000000008731,True,False,349.199999999837,0.0
13,2024-05-29 01:03:01,67764.24,67764.24,67760.2,67760.2,2024-05-29 01:03:01,76.81740125928654,53.40583858043002,76.81740125928654,76.81740125928654,False,False,Hold,67757.452,67749.236,68.26885502144704,2,11,12.450000000011642,13.400000000008731,False,False,268.4000000008382,-8079.999999899883
14,2024-05-29 01:03:02,67760.2,67760.2,67757.28,67757.28,2024-05-29 01:03:02,60.10303377217688,53.40583858043002,71.24594543024999,74.96024931627436,False,False,Hold,67759.552,67749.236,61.276745001726326,3,12,8.410000000003492,9.360000000000582,False,False,209.99999999912689,-5840.0000001711305
15,2024-05-29 01:03:03,67757.28,67757.28,67750.85,67750.85,2024-05-29 01:03:03,23.297080709826638,53.40583858043002,53.405838580430014,67.15639508998885,False,False,Hold,67759.362,67749.236,50.0,4,13,5.490000000005239,6.440000000002328,False,False,-19.00000000023283,-22899.99999993597
