,Timestamp,Open,High,Low,Close,Volume,Date,Daily_Change,Daily_Change_Open_to_Close,%K,%D,Slow %K,Slow %D,KalmanFilterEst,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,HurstExponent,MinutesSincePeak,MinutesSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,KalmanFilterEst_1st_Deriv,KalmanFilterEst_2nd_Deriv,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv,Long_Moving_Avg_1st_Deriv,Long_Moving_Avg_2nd_Deriv,DataAge,Weight
624,2024-04-14 10:24:00,64200.52,64235.55,64200.51,64207.55,10.65388,2024-04-14 10:24:00,0.010965644976956845,1.557620024320883e-05,31.71836087842471,34.02196060674694,34.02196060674694,26.739491359142807,64205.54530551459,True,False,Sell,64195.154,64244.061,41.58898305084776,0.5539441017377402,0,0,0.0,-26.280000000006112,False,False,324.3663814449974,61426.009809365496,930.2000000003318,192020.00000004773,-671.4999999996508,-58154.99999996973,16,0.44932896411722156
636,2024-04-14 10:36:00,64568.47,64650.0,64537.0,64619.79,37.06381,2024-04-14 10:36:00,0.0794970175841403,1.5487437677834143e-05,91.4645333333329,87.97258748282074,87.97258748282074,86.02321363908946,64593.396730527325,True,False,Sell,64522.742000000006,64315.7515,84.95170671836846,0.6469084200875419,0,0,0.0,-15.940000000002328,False,False,4270.52070810314,139552.08088838845,4302.399999999761,47679.99999989115,1688.8999999995576,7984.999999898719,16,0.44932896411722156
666,2024-04-14 11:06:00,64373.66,64379.46,64315.16,64316.48,23.44176,2024-04-14 11:06:00,-0.08882514991379598,0.0,0.4777761691037044,9.715492690274946,9.715492690274946,18.340405435256557,64339.01440017921,False,False,Hold,64386.87000000001,64460.80500000001,35.170224528739425,0.5765978978879479,0,0,32.74000000000524,-14.479999999995925,False,False,-3646.1425406050694,-335233.5789146309,-4870.399999999063,-233519.99999991676,-1344.649999999092,-38674.99999993015,16,0.44932896411722156
677,2024-04-14 11:17:00,64068.14,64107.72,64053.47,64107.72,25.30885,2024-04-14 11:17:00,0.06177797576143451,0.0,17.069852723724274,6.957781966274418,6.957781966274418,7.903710825718676,64110.910953232335,False,False,Hold,64167.474,64309.9505,26.139341751472585,0.5993152277453458,0,0,-154.3000000000029,-96.80000000000291,False,False,-516.3070786424214,723958.0929347721,-2294.2000000002736,7640.000000028522,-1774.4500000007974,26979.99999996682,16,0.44932896411722156
685,2024-04-14 11:25:00,64010.98,64076.96,63963.0,63963.01,51.92601,2024-04-14 11:25:00,-0.07495587867020204,-1.5622317347007614e-05,0.0031019294007188255,4.761382560345389,4.761382560345389,4.787446814326903,63979.94238118016,False,True,Buy,63999.969999999994,64148.820499999994,30.825417509688208,0.6283247336186877,0,0,19.2300000000032,0.0,False,False,-2739.716825995856,-333037.21340089396,-2896.000000001368,-34500.000000189175,-2053.250000000844,-40365.00000009255,16,0.44932896411722156
698,2024-04-14 11:38:00,64066.77,64091.34,64048.06,64091.34,14.95867,2024-04-14 11:38:00,0.03835061452295285,0.0,57.836327655114715,52.299095882968025,52.299095882968025,55.39991118354299,64084.53191488394,True,False,Sell,64085.462,64064.92899999999,57.2584870548701,0.538146435913158,0,0,0.0,-6.330000000001746,False,False,1101.5713116081315,219312.9687144392,1178.6000000000058,128660.0000000908,-271.2000000014086,-6645.000000135042,16,0.44932896411722156
715,2024-04-14 11:55:00,64053.39,64079.48,64023.9,64068.1,23.48848,2024-04-14 11:55:00,0.022980832549346353,1.56119786372511e-05,85.86715122148202,83.48071875630899,83.48071875630899,78.67958812840693,64062.283877712885,False,False,Hold,64049.828,64023.954000000005,54.96700123745318,0.5629111539992142,0,0,33.400000000001455,-11.690000000002328,False,False,941.0683543275809,85906.5448401816,-16.399999998975545,51120.000000155414,-285.84999999948195,-19859.99999997148,16,0.44932896411722156
804,2024-04-14 13:24:00,64576.92,64610.32,64551.14,64551.14,21.34867,2024-04-14 13:24:00,-0.03993686290134635,-1.5485406323956972e-05,9.43565359731817,12.09551544297365,12.09551544297365,16.777481143724373,64561.16404999553,False,True,Buy,64580.648,64660.4015,33.04796366155952,0.625454394894294,0,0,20.909999999996217,0.0,False,False,-1621.9253597708303,-154857.9297662218,-673.9999999997963,4700.0000000116415,635.7499999990978,-24180.000000123982,16,0.44932896411722156
879,2024-04-14 14:39:00,63475.55,63657.0,63475.54,63656.99,255.80677,2024-04-14 14:39:00,0.2858423440206481,0.0,29.556199070643938,14.379846787628418,14.379846787628418,15.451077186487998,63615.396342037086,False,False,Hold,63673.72000000001,63912.707500000004,43.60141628730382,0.4973954827514859,0,0,-624.4499999999971,-91.84999999999854,False,False,6729.995230043278,1846824.7665542003,-6006.399999999849,772699.9999998952,-1259.1999999996915,159174.99999995925,16,0.44932896411722156
893,2024-04-14 14:53:00,63827.61,63844.7,63731.95,63766.13,37.76319,2024-04-14 14:53:00,-0.09632195220846684,0.0,40.81141481863487,56.52884205377111,56.52884205377111,56.715416177698444,63780.8332578277,False,True,Buy,63762.348,63767.44149999999,54.39648088171308,0.5578335621477619,0,0,33.80000000000291,0.0,False,False,-2379.0370910573984,-609831.0089007282,1061.9999999995343,-78240.000000078,-1980.4500000012922,-61845.00000017579,16,0.44932896411722156
