Timestamp,Price,Signal,BettiCurve_0,BettiCurve_1,L1_Persistence,L2_Persistence
2024-05-11 06:11:05.015271936,60957.99,Hold,1,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:05.477165056,60958.0,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:05.504969984,60958.0,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:05.886310144,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:06.068121856,60958.0,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:06.261025792,60958.0,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:05.477165056,60958.0,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:05.504969984,60958.0,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:05.886310144,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:06.068121856,60958.0,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:06.261025792,60958.0,Hold,1,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:07.477186816,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.140020992,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.145122048,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.148004096,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.156076032,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.156403968,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.156599040,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.156791808,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.156986112,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.157180160,60957.99,Hold,1,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.159401984,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.159681024,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.159926016,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.162446080,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.162686208,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.162936064,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.163240960,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.164814848,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.214096896,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.214525952,60957.99,Hold,1,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.215042048,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:07.477186816,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.140020992,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.145122048,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.148004096,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.156076032,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.156403968,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.156599040,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.156791808,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.156986112,60957.99,Hold,1,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.157180160,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.159401984,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.159681024,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.159926016,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.162446080,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.162686208,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.162936064,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.163240960,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.164814848,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.214096896,60957.99,Hold,1,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.214525952,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.215042048,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.753145088,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.753287936,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.753395968,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.753533952,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
2024-05-11 06:11:08.753724160,60957.99,Hold,0,0,10.000003674067557,2.2668041524520848
