,Timestamp,WalletBalance,AvailableBalance,RealizedProfit,UnrealizedProfit
0,1970-01-01 00:28:38.557133578,5990.32141758,5989.25101758,0.0,0.0
1,1970-01-01 00:28:38.557177286,5990.14077774,5990.14077774,-0.18063984000036726,0.0
2,1970-01-01 00:28:38.557219482,5990.14077774,5989.07118094,-0.18063984000036726,0.0
3,1970-01-01 00:28:38.557289906,5990.14077774,5989.07118094,-0.18063984000036726,0.0
4,1970-01-01 00:28:38.557308715,5990.08725774,5988.40704489,-0.23415984000075696,-0.61473069
5,1970-01-01 00:28:38.557332912,5989.9333779,5988.8643139,-0.3880396800004746,0.0
6,1970-01-01 00:28:38.557390747,5989.9333779,5988.8643171,-0.3880396800004746,0.0
7,1970-01-01 00:28:38.557677639,5989.87982022,5988.13834032,-0.4415973600007419,-0.67573216
8,1970-01-01 00:28:38.557680489,5989.87982022,5988.1388198,-0.4415973600007419,-0.6752488
9,1970-01-01 00:28:38.557855297,5989.68014198,5987.96525838,-0.6412755999999717,-0.64892299
10,1970-01-01 00:28:38.557982687,5989.11221118,5987.42711408,-1.2092064000007667,-0.61889626
11,1970-01-01 00:28:38.557989573,5989.11221118,5987.42753736,-1.2092064000007667,-0.61846958
12,1970-01-01 00:28:38.558076805,5988.59743814,5987.52629414,-1.723979440000221,0.0
13,1970-01-01 00:28:38.558155295,5988.59743814,5987.52997414,-1.723979440000221,0.0
14,1970-01-01 00:28:38.558172619,5988.59743814,5987.52997894,-1.723979440000221,0.0
15,1970-01-01 00:28:38.558199963,5988.54388054,5986.91955665,-1.777537040000425,-0.55763296
16,1970-01-01 00:28:38.558285850,5988.54388054,5986.93693666,-1.777537040000425,-0.54011278
17,1970-01-01 00:28:38.558416238,5988.02950734,5986.96204014,-2.2919102400001066,0.0
18,1970-01-01 00:28:38.558476834,5988.02950734,5986.95804974,-2.2919102400001066,0.0
19,1970-01-01 00:28:38.558499062,5988.0027209,5985.32450222,-2.3186966800003574,-0.53962043
20,1970-01-01 00:28:38.558535767,5987.97593446,5983.6897115,-2.3454831200006083,-1.0804941
21,1970-01-01 00:28:38.558547626,5987.94914802,5983.1244187,-2.3722695599999497,-1.62334327
22,1970-01-01 00:28:38.558596276,5987.92236158,5984.65214004,-2.3990560000002006,-1.13639751
23,1970-01-01 00:28:38.558670724,5987.73844654,5986.67097934,-2.5829710400003023,0.0
24,1970-01-01 00:28:38.558721723,5987.73844654,5986.67044654,-2.5829710400003023,0.0
